                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8635,                 4.6847,                 4.2383,                0.00169,                0.15911,                0.00186,                0.00062,                 4.0645,                 4.9266,                 4.1508,             0.00054065,             0.00054065,             0.00054065
                      1,                 3.6737,                 4.4511,                 4.0151,                0.00059,                0.12352,                0.00067,                0.00018,                 4.4076,                 5.0165,                  4.644,              0.0010529,              0.0010529,              0.0010529
                      2,                 3.4913,                  4.223,                 3.7245,                0.00746,                0.00918,                0.00365,                0.00114,                 3.7148,                 4.5862,                 3.9181,              0.0015211,              0.0015211,              0.0015211
                      3,                 3.2236,                 4.0981,                 3.4535,                 0.0134,                0.04834,                 0.0054,                0.00183,                 3.2188,                  9.251,                 3.7216,               0.001469,               0.001469,               0.001469
                      4,                 3.1567,                 3.8948,                 3.3041,                0.07521,                0.04729,                 0.0145,                0.00477,                 3.1584,                 4.9733,                 3.2444,               0.001469,               0.001469,               0.001469
                      5,                 3.1261,                 3.7944,                  3.189,                0.10832,                0.10208,                0.04813,                0.01312,                 3.0265,                 4.3397,                 3.1413,              0.0014029,              0.0014029,              0.0014029
                      6,                 3.0355,                 3.6945,                 3.1588,                0.13591,                0.10122,                0.05903,                0.01732,                 2.9575,                 4.5691,                 3.0396,              0.0013369,              0.0013369,              0.0013369
                      7,                 2.9898,                 3.5257,                 3.0665,                0.61755,                0.08721,                0.05317,                0.01542,                 2.8401,                 3.8734,                 2.9319,              0.0012709,              0.0012709,              0.0012709
                      8,                 2.9401,                 3.3764,                 3.0019,                0.10223,                0.15002,                0.06094,                0.01648,                 2.9533,                 6.2103,                 3.0189,              0.0012049,              0.0012049,              0.0012049
                      9,                 2.9071,                 3.4286,                 2.9447,                0.67059,                0.13372,                0.11239,                0.03416,                 2.7809,                 3.4161,                 2.8457,              0.0011389,              0.0011389,              0.0011389
                     10,                 2.8257,                 3.2934,                 2.8952,                0.64198,                0.15263,                 0.1067,                0.03318,                 2.7219,                 3.5587,                 2.8154,              0.0010729,              0.0010729,              0.0010729
                     11,                 2.8019,                 3.2565,                 2.9053,                0.67729,                0.11628,                0.11808,                0.04035,                 2.7102,                 3.2392,                 2.8079,              0.0010069,              0.0010069,              0.0010069
                     12,                 2.7844,                 3.1586,                 2.8268,                0.20226,                0.17442,                0.16028,                 0.0532,                  2.661,                  3.221,                  2.766,             0.00094085,             0.00094085,             0.00094085
                     13,                 2.7529,                 3.0772,                 2.8045,                0.21749,                0.22231,                0.14644,                0.04866,                 2.6558,                 3.0868,                 2.7321,             0.00087484,             0.00087484,             0.00087484
                     14,                 2.7145,                 3.0394,                 2.7614,                0.27972,                0.23799,                0.18992,                0.06551,                  2.627,                 3.0243,                 2.7087,             0.00080883,             0.00080883,             0.00080883
                     15,                 2.6382,                 3.0534,                 2.6928,                0.30778,                0.23631,                0.20803,                0.07445,                 2.5521,                 2.8345,                 2.6518,             0.00074282,             0.00074282,             0.00074282
                     16,                 2.5727,                 2.9207,                 2.6658,                0.30677,                0.25085,                0.21977,                0.07985,                 2.4733,                 2.7502,                 2.6073,              0.0006768,              0.0006768,              0.0006768
                     17,                 2.5361,                 2.8514,                 2.6307,                0.38141,                0.25022,                0.23915,                0.08974,                 2.4251,                 2.6944,                 2.5674,             0.00061079,             0.00061079,             0.00061079
                     18,                  2.535,                 2.7858,                 2.6459,                0.24527,                0.27426,                0.21007,                0.07759,                 2.4259,                 2.7372,                 2.5709,             0.00054478,             0.00054478,             0.00054478
                     19,                 2.5006,                 2.7111,                 2.6207,                0.34622,                0.29142,                0.25581,                0.09561,                 2.4242,                 2.5854,                 2.5461,             0.00047876,             0.00047876,             0.00047876
                     20,                 2.4974,                 2.6873,                  2.604,                0.35514,                0.30314,                0.28617,                0.10778,                 2.3696,                 2.4928,                 2.4988,             0.00041275,             0.00041275,             0.00041275
                     21,                  2.433,                 2.6026,                 2.5642,                 0.3676,                0.26758,                0.25744,                0.10067,                   2.33,                  2.533,                 2.4824,             0.00034674,             0.00034674,             0.00034674
                     22,                 2.4248,                 2.5536,                 2.5482,                0.37144,                0.31653,                0.28271,                0.10824,                 2.3206,                 2.4852,                 2.4755,             0.00028072,             0.00028072,             0.00028072
                     23,                 2.3731,                 2.5458,                 2.5421,                 0.3301,                0.33519,                 0.2921,                0.11398,                 2.2638,                  2.468,                 2.4603,             0.00021471,             0.00021471,             0.00021471
                     24,                 2.3777,                 2.5625,                 2.5217,                0.37994,                0.34271,                0.30932,                0.12415,                 2.2593,                 2.3766,                 2.4619,              0.0001487,              0.0001487,              0.0001487
