                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6253,                 2.9798,                 1.5222,                 0.5026,                0.34724,                0.34849,                0.15585,                 1.7942,                 3.0173,                 1.6754,             0.00054065,             0.00054065,             0.00054065
                      2,                 1.7235,                 2.1029,                 1.5899,                0.34512,                0.45749,                0.23063,                0.10057,                 2.1229,                 7.3698,                 2.1336,              0.0010529,              0.0010529,              0.0010529
                      3,                 1.8342,                 2.1141,                 1.6795,                0.22449,                0.42943,                0.13184,                 0.0472,                 2.4729,                  16.84,                 2.6297,              0.0015211,              0.0015211,              0.0015211
                      4,                 1.9029,                 2.1808,                 1.6929,                0.19136,                0.49008,                0.14708,                0.05059,                 2.2344,                 9.0483,                 2.2743,               0.001469,               0.001469,               0.001469
                      5,                  1.883,                 2.0705,                 1.6986,                0.13547,                0.43752,                0.06261,                0.02431,                 2.3759,                 21.748,                 2.4668,               0.001469,               0.001469,               0.001469
                      6,                 1.8792,                 2.0935,                 1.7251,                0.49223,                0.33286,                0.35347,                0.15861,                  1.883,                 3.2663,                  1.832,              0.0014029,              0.0014029,              0.0014029
                      7,                 1.7937,                 1.9859,                 1.6249,                0.40973,                0.47554,                0.37964,                0.17341,                   1.79,                 2.6147,                 1.6694,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.7544,                 1.8539,                 1.6099,                0.42606,                 0.5141,                0.40529,                0.19227,                 1.7596,                 2.3383,                 1.6667,              0.0012709,              0.0012709,              0.0012709
                      9,                 1.6882,                 1.8423,                  1.576,                0.59829,                0.56199,                0.53943,                0.25387,                 1.6776,                 2.0602,                 1.6326,              0.0012049,              0.0012049,              0.0012049
                     10,                 1.6756,                 1.7906,                 1.5379,                0.61992,                0.50177,                0.53186,                0.26148,                 1.7458,                 1.7426,                 1.5621,              0.0011389,              0.0011389,              0.0011389
                     11,                 1.6563,                 1.7281,                  1.517,                0.71148,                0.53302,                0.63677,                0.33576,                 1.5519,                 1.5286,                 1.4755,              0.0010729,              0.0010729,              0.0010729
                     12,                 1.5485,                 1.6109,                 1.4668,                0.65626,                0.63863,                0.66827,                 0.3532,                 1.5446,                 1.3912,                 1.4675,              0.0010069,              0.0010069,              0.0010069
                     13,                 1.5718,                  1.574,                  1.458,                0.66712,                0.62408,                0.63349,                0.31655,                 1.6145,                  1.673,                 1.5497,             0.00094085,             0.00094085,             0.00094085
                     14,                 1.5636,                 1.4885,                 1.4546,                0.75693,                0.68382,                0.73788,                0.41412,                 1.4402,                 1.2716,                 1.3851,             0.00087484,             0.00087484,             0.00087484
                     15,                 1.4995,                 1.4696,                 1.4362,                0.72013,                0.65775,                0.70069,                0.37536,                 1.4484,                 1.4166,                 1.4175,             0.00080883,             0.00080883,             0.00080883
                     16,                 1.4935,                 1.4759,                 1.4405,                 0.7427,                0.67834,                0.73404,                0.41325,                 1.4152,                 1.3087,                 1.3762,             0.00074282,             0.00074282,             0.00074282
                     17,                 1.4816,                 1.3554,                 1.4226,                0.70648,                0.69583,                0.73942,                 0.4222,                 1.4118,                 1.2698,                 1.3737,              0.0006768,              0.0006768,              0.0006768
                     18,                 1.4453,                  1.275,                 1.4236,                0.77225,                0.69057,                0.76241,                0.44761,                 1.3504,                 1.1683,                 1.3236,             0.00061079,             0.00061079,             0.00061079
                     19,                  1.401,                 1.2216,                 1.3696,                0.78448,                0.74832,                0.79551,                0.46529,                 1.3546,                 1.1226,                 1.3207,             0.00054478,             0.00054478,             0.00054478
                     20,                 1.3647,                 1.2025,                 1.3454,                0.78569,                0.77401,                0.81931,                0.50549,                 1.2507,                 1.0127,                 1.2617,             0.00047876,             0.00047876,             0.00047876
                     21,                  1.289,                 1.0983,                 1.3155,                0.85441,                0.78157,                0.85871,                0.53481,                 1.2594,                0.94947,                 1.2744,             0.00041275,             0.00041275,             0.00041275
                     22,                 1.2993,                 1.0461,                 1.2932,                0.84898,                0.78793,                 0.8587,                0.53521,                 1.2427,                 0.9424,                 1.2484,             0.00034674,             0.00034674,             0.00034674
                     23,                 1.2716,                 1.0593,                 1.2725,                0.85842,                0.82745,                0.88515,                0.57004,                 1.1861,                0.89823,                 1.2092,             0.00028072,             0.00028072,             0.00028072
                     24,                 1.2491,                 0.9573,                 1.2494,                0.89001,                0.82441,                 0.8915,                 0.5875,                 1.1509,                0.84822,                  1.198,             0.00021471,             0.00021471,             0.00021471
                     25,                 1.1968,                0.95177,                 1.2409,                0.90422,                0.82561,                0.89967,                0.60524,                 1.1348,                0.81334,                 1.1821,              0.0001487,              0.0001487,              0.0001487
